"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"PH1";"JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical";1;"Conn_01x06_Socket";;;
2;"TDS1";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";1;"Conn_01x03_Socket";;;
3;"ULTRASONIC1";"JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical";1;"Conn_01x04_Pin";;;
4;"18VMAINS1,S0LAR1";"JST_NV_B02P-NV_1x02_P5.00mm_Vertical";2;"Screw_Terminal_01x02";;;
5;"D12,D3,D5";"D_SMB_Handsoldering";3;"1N5820";;;
6;"TP2,TP1,TP5,TP4,TP3";"TestPoint_Pad_D2.5mm";5;"TestPoint";;;
7;"R12,R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"2.2 K";;;
8;"D10";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1N5820";;;
9;"U6";"SOT-23-6";1;"MT3608";;;
10;"SW2,SW1";"SW_SPST_B3U-1000P";2;"SW_MEC_5G";;;
11;"R25";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"440k";;;
12;"R24";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"120k";;;
13;"R23";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"300";;;
14;"R22";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2.2k";;;
15;"L2";"L_7.3x7.3_H3.5";1;"220uH";;;
16;"D11";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4007";;;
17;"C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22UF";;;
18;"22uF1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"C";;;
19;"Q5,Q4,Q6,Q2";"SOT-23";4;"BC817";;;
20;"C1,C6";"CP_Radial_D10.0mm_P5.00mm";2;"470uF";;;
21;"PROG1";"PinSocket_1x06_P2.54mm_Vertical";1;"Conn_01x06_Socket";;;
22;"R17,R21,R18";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"10K";;;
23;"J3";"TestPoint_Pad_D1.5mm";1;"IN+";;;
24;"Q3";"SOT-23";1;"IRLML5203";;;
25;"L1";"L_Radial_D12.0mm_P6.00mm_Murata_1900R";1;"33uH";;;
26;"D1,D8,D6";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"GREEN_LED";;;
27;"C4";"CP_Radial_D8.0mm_P3.80mm";1;"220uF";;;
28;"C9";"CP_EIA-3528-15_AVX-H_Pad1.50x2.35mm_HandSolder";1;"220uF";;;
29;"H1";"MountingHole_3.2mm_M3_Pad_Via";1;"MountingHole_Pad";;;
30;"U2";"SOP127P600X175-9N";1;"TP4056";;;
31;"R2,R7,R1,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"1K";;;
32;"IC1";"SOT95P280X135-6N";1;"DW01";;;
33;"C10,C8,C5,C2,C3,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"0.1uF";;;
34;"U1";"TO-263-5_TabPin3";1;"LM2596S-ADJ";;;
35;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"3.9k";;;
36;"D2,D9,D7";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"RED_LED";;;
37;"J2";"TestPoint_Pad_D1.5mm";1;"IN-";;;
38;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
39;"R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100k";;;
40;"Batt+1";"TestPoint_Pad_4.0x4.0mm";1;"BatteryPositive";;;
41;"R9,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10 K";;;
42;"U3";"SOT-223-3_TabPin2";1;"LM1117MP-3.3";;;
43;"R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
44;"U4";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
45;"U5";"SIM800L-CORE";1;"SIM800L-CORE";;;
46;"Batt-1";"TestPoint_Pad_4.0x4.0mm";1;"BatteryNegative";;;
47;"D4";"D_SMB_Handsoldering";1;"1N5819";;;
48;"R20,R19,R10,R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"1k";;;
49;"J5";"TestPoint_Pad_D1.5mm";1;"OUT +";;;
50;"R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100K";;;
51;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1.2K";;;
52;"J6";"TestPoint_Pad_D1.5mm";1;"OUT -";;;
53;"Q1";"SOP65P640X120-8N";1;"FS8205A";;;
